Entity,Day,average_co2_concentrations
World,1980-01-15,338.55
World,1980-02-15,339.27
World,1980-03-15,339.6
World,1980-04-15,340.0
World,1980-05-15,340.43
World,1980-06-15,339.99
World,1980-07-15,338.44
World,1980-08-15,337.21
World,1980-09-15,337.05
World,1980-10-15,337.83
World,1980-11-15,338.93
World,1980-12-15,339.64
World,1981-01-15,340.18
World,1981-02-15,340.74
World,1981-03-15,341.38
World,1981-04-15,341.68
World,1981-05-15,341.43
World,1981-06-15,340.62
World,1981-07-15,339.22
World,1981-08-15,338.06
World,1981-09-15,337.97
World,1981-10-15,339.07
World,1981-11-15,340.17
World,1981-12-15,340.74
World,1982-01-15,341.37
World,1982-02-15,341.95
World,1982-03-15,342.23
World,1982-04-15,342.52
World,1982-05-15,342.36
World,1982-06-15,341.49
World,1982-07-15,339.75
World,1982-08-15,338.11
World,1982-09-15,338.16
World,1982-10-15,339.62
World,1982-11-15,340.95
World,1982-12-15,341.77
World,1983-01-15,342.37
World,1983-02-15,342.74
World,1983-03-15,343.03
World,1983-04-15,343.51
World,1983-05-15,343.84
World,1983-06-15,343.5
World,1983-07-15,342.15
World,1983-08-15,340.63
World,1983-09-15,340.54
World,1983-10-15,341.75
World,1983-11-15,342.82
World,1983-12-15,343.49
World,1984-01-15,344.32
World,1984-02-15,344.82
World,1984-03-15,344.96
World,1984-04-15,345.19
World,1984-05-15,345.33
World,1984-06-15,344.57
World,1984-07-15,343.2
World,1984-08-15,342.21
World,1984-09-15,342.13
World,1984-10-15,342.99
World,1984-11-15,344.16
World,1984-12-15,345.01
World,1985-01-15,345.36
World,1985-02-15,345.81
World,1985-03-15,346.65
World,1985-04-15,346.94
World,1985-05-15,346.78
World,1985-06-15,346.28
World,1985-07-15,344.93
World,1985-08-15,343.42
World,1985-09-15,343.37
World,1985-10-15,344.65
World,1985-11-15,345.79
World,1985-12-15,346.55
World,1986-01-15,347.11
World,1986-02-15,347.33
World,1986-03-15,347.71
World,1986-04-15,348.23
World,1986-05-15,348.32
World,1986-06-15,347.75
World,1986-07-15,346.29
World,1986-08-15,344.91
World,1986-09-15,344.85
World,1986-10-15,346.04
World,1986-11-15,347.3
World,1986-12-15,347.75
World,1987-01-15,348.0
World,1987-02-15,348.55
World,1987-03-15,349.27
World,1987-04-15,349.96
World,1987-05-15,350.23
World,1987-06-15,349.46
World,1987-07-15,347.89
World,1987-08-15,346.65
World,1987-09-15,346.69
World,1987-10-15,347.96
World,1987-11-15,349.24
World,1987-12-15,350.19
World,1988-01-15,350.91
World,1988-02-15,351.47
World,1988-03-15,351.85
World,1988-04-15,352.3
World,1988-05-15,352.46
World,1988-06-15,351.76
World,1988-07-15,350.28
World,1988-08-15,349.1
World,1988-09-15,349.27
World,1988-10-15,350.44
World,1988-11-15,351.61
World,1988-12-15,352.46
World,1989-01-15,353.0
World,1989-02-15,353.45
World,1989-03-15,354.0
World,1989-04-15,354.38
World,1989-05-15,354.19
World,1989-06-15,353.26
World,1989-07-15,351.56
World,1989-08-15,350.21
World,1989-09-15,350.56
World,1989-10-15,351.85
