,Entity,Day,average_co2_concentrations
0,World,1980-01-15,338.55
1,World,1980-02-15,339.27
2,World,1980-03-15,339.6
3,World,1980-04-15,340.0
4,World,1980-05-15,340.43
5,World,1980-06-15,339.99
6,World,1980-07-15,338.44
7,World,1980-08-15,337.21
8,World,1980-09-15,337.05
9,World,1980-10-15,337.83
10,World,1980-11-15,338.93
11,World,1980-12-15,339.64
12,World,1981-01-15,340.18
13,World,1981-02-15,340.74
14,World,1981-03-15,341.38
15,World,1981-04-15,341.68
16,World,1981-05-15,341.43
17,World,1981-06-15,340.62
18,World,1981-07-15,339.22
19,World,1981-08-15,338.06
20,World,1981-09-15,337.97
21,World,1981-10-15,339.07
22,World,1981-11-15,340.17
23,World,1981-12-15,340.74
24,World,1982-01-15,341.37
25,World,1982-02-15,341.95
26,World,1982-03-15,342.23
27,World,1982-04-15,342.52
28,World,1982-05-15,342.36
29,World,1982-06-15,341.49
30,World,1982-07-15,339.75
31,World,1982-08-15,338.11
32,World,1982-09-15,338.16
33,World,1982-10-15,339.62
34,World,1982-11-15,340.95
35,World,1982-12-15,341.77
36,World,1983-01-15,342.37
37,World,1983-02-15,342.74
38,World,1983-03-15,343.03
39,World,1983-04-15,343.51
40,World,1983-05-15,343.84
41,World,1983-06-15,343.5
42,World,1983-07-15,342.15
43,World,1983-08-15,340.63
44,World,1983-09-15,340.54
45,World,1983-10-15,341.75
46,World,1983-11-15,342.82
47,World,1983-12-15,343.49
48,World,1984-01-15,344.32
49,World,1984-02-15,344.82
50,World,1984-03-15,344.96
51,World,1984-04-15,345.19
52,World,1984-05-15,345.33
53,World,1984-06-15,344.57
54,World,1984-07-15,343.2
55,World,1984-08-15,342.21
56,World,1984-09-15,342.13
57,World,1984-10-15,342.99
58,World,1984-11-15,344.16
59,World,1984-12-15,345.01
60,World,1985-01-15,345.36
61,World,1985-02-15,345.81
62,World,1985-03-15,346.65
63,World,1985-04-15,346.94
64,World,1985-05-15,346.78
65,World,1985-06-15,346.28
66,World,1985-07-15,344.93
67,World,1985-08-15,343.42
68,World,1985-09-15,343.37
69,World,1985-10-15,344.65
70,World,1985-11-15,345.79
71,World,1985-12-15,346.55
72,World,1986-01-15,347.11
73,World,1986-02-15,347.33
74,World,1986-03-15,347.71
75,World,1986-04-15,348.23
76,World,1986-05-15,348.32
77,World,1986-06-15,347.75
78,World,1986-07-15,346.29
79,World,1986-08-15,344.91
80,World,1986-09-15,344.85
81,World,1986-10-15,346.04
82,World,1986-11-15,347.3
83,World,1986-12-15,347.75
84,World,1987-01-15,348.0
85,World,1987-02-15,348.55
86,World,1987-03-15,349.27
87,World,1987-04-15,349.96
88,World,1987-05-15,350.23
89,World,1987-06-15,349.46
90,World,1987-07-15,347.89
91,World,1987-08-15,346.65
92,World,1987-09-15,346.69
93,World,1987-10-15,347.96
94,World,1987-11-15,349.24
95,World,1987-12-15,350.19
96,World,1988-01-15,350.91
97,World,1988-02-15,351.47
98,World,1988-03-15,351.85
99,World,1988-04-15,352.3
100,World,1988-05-15,352.46
101,World,1988-06-15,351.76
102,World,1988-07-15,350.28
103,World,1988-08-15,349.1
104,World,1988-09-15,349.27
105,World,1988-10-15,350.44
106,World,1988-11-15,351.61
107,World,1988-12-15,352.46
108,World,1989-01-15,353.0
109,World,1989-02-15,353.45
110,World,1989-03-15,354.0
111,World,1989-04-15,354.38
112,World,1989-05-15,354.19
113,World,1989-06-15,353.26
114,World,1989-07-15,351.56
115,World,1989-08-15,350.21
116,World,1989-09-15,350.56
117,World,1989-10-15,351.85
118,World,1989-11-15,353.03
119,World,1989-12-15,353.9
120,World,1990-01-15,354.46
121,World,1990-02-15,354.87
122,World,1990-03-15,355.19
123,World,1990-04-15,355.5
124,World,1990-05-15,355.4
125,World,1990-06-15,354.33
126,World,1990-07-15,352.71
127,World,1990-08-15,351.58
128,World,1990-09-15,351.8
129,World,1990-10-15,353.19
130,World,1990-11-15,354.43
131,World,1990-12-15,355.18
132,World,1991-01-15,355.75
133,World,1991-02-15,356.18
134,World,1991-03-15,356.68
135,World,1991-04-15,357.19
136,World,1991-05-15,357.11
137,World,1991-06-15,356.18
138,World,1991-07-15,354.54
139,World,1991-08-15,353.06
140,World,1991-09-15,352.93
141,World,1991-10-15,354.0
142,World,1991-11-15,355.16
143,World,1991-12-15,355.95
144,World,1992-01-15,356.53
145,World,1992-02-15,356.88
146,World,1992-03-15,357.26
147,World,1992-04-15,357.76
148,World,1992-05-15,357.83
149,World,1992-06-15,356.88
150,World,1992-07-15,355.19
151,World,1992-08-15,353.68
152,World,1992-09-15,353.59
153,World,1992-10-15,354.8
154,World,1992-11-15,355.98
155,World,1992-12-15,356.74
156,World,1993-01-15,357.21
157,World,1993-02-15,357.55
158,World,1993-03-15,357.96
159,World,1993-04-15,358.43
160,World,1993-05-15,358.38
161,World,1993-06-15,357.34
162,World,1993-07-15,355.72
163,World,1993-08-15,354.44
164,World,1993-09-15,354.47
165,World,1993-10-15,355.7
166,World,1993-11-15,356.95
167,World,1993-12-15,357.85
168,World,1994-01-15,358.48
169,World,1994-02-15,359.01
170,World,1994-03-15,359.36
171,World,1994-04-15,359.71
172,World,1994-05-15,359.74
173,World,1994-06-15,358.81
174,World,1994-07-15,357.28
175,World,1994-08-15,356.06
176,World,1994-09-15,356.02
177,World,1994-10-15,357.26
178,World,1994-11-15,358.69
179,World,1994-12-15,359.55
180,World,1995-01-15,360.13
181,World,1995-02-15,360.61
182,World,1995-03-15,361.08
183,World,1995-04-15,361.55
184,World,1995-05-15,361.47
185,World,1995-06-15,360.61
186,World,1995-07-15,358.99
187,World,1995-08-15,357.73
188,World,1995-09-15,358.05
189,World,1995-10-15,359.43
190,World,1995-11-15,360.77
191,World,1995-12-15,361.65
192,World,1996-01-15,362.14
193,World,1996-02-15,362.5
194,World,1996-03-15,362.82
195,World,1996-04-15,363.14
196,World,1996-05-15,363.29
197,World,1996-06-15,362.88
198,World,1996-07-15,361.57
199,World,1996-08-15,360.07
200,World,1996-09-15,359.7
201,World,1996-10-15,360.67
202,World,1996-11-15,361.78
203,World,1996-12-15,362.63
204,World,1997-01-15,363.28
205,World,1997-02-15,363.65
206,World,1997-03-15,364.03
207,World,1997-04-15,364.51
208,World,1997-05-15,364.51
209,World,1997-06-15,363.6
210,World,1997-07-15,361.93
211,World,1997-08-15,360.41
212,World,1997-09-15,360.41
213,World,1997-10-15,361.94
214,World,1997-11-15,363.61
215,World,1997-12-15,364.68
216,World,1998-01-15,365.19
217,World,1998-02-15,365.46
218,World,1998-03-15,365.93
219,World,1998-04-15,366.58
220,World,1998-05-15,366.86
221,World,1998-06-15,366.27
222,World,1998-07-15,364.84
223,World,1998-08-15,363.79
224,World,1998-09-15,364.04
225,World,1998-10-15,365.34
226,World,1998-11-15,366.6
227,World,1998-12-15,367.47
228,World,1999-01-15,368.12
229,World,1999-02-15,368.52
230,World,1999-03-15,368.91
231,World,1999-04-15,369.3
232,World,1999-05-15,369.21
233,World,1999-06-15,368.36
